STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140203,43,-9999,41,50,-27,41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140204,0,-9999,0,17,-49,27
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140205,282,-9999,272,6,-43,48
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140206,0,-9999,0,-21,-71,35
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140207,0,-9999,0,-10,-71,48
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140208,0,-9999,0,-16,-77,45
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140209,8,-9999,8,-10,-60,34
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140210,0,-9999,3,-10,-66,52
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140211,0,-9999,0,-38,-99,46
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140212,0,-9999,0,-49,-132,34
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140213,343,-9999,81,22,-60,89
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140214,79,-9999,3,28,-16,82
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140215,84,-9999,91,17,-27,43
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140216,5,-9999,10,6,-49,74
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140217,0,-9999,0,-16,-99,66
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140218,56,-9999,64,17,-99,47
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140219,64,-9999,0,22,-60,36
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140220,20,-9999,0,89,6,42
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140221,56,-9999,0,67,11,40
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140222,0,-9999,0,100,11,64
